GeneSymbol,Z_score
A2M,0.357435118364166
AADAT,0.43436768125614
AAK1,0.406653346984626
ABCA1,0.736264077895269
ABCC4,0.409692348505888
ABCD1,0.631228574863107
ABCE1,0.453990101431313
ABHD11,0.557938129800578
ABHD12,0.587110306034894
ABHD14B,0.473649827769879
ABHD2,0.445871451251207
ABHD3,0.437884616181756
ABHD4,0.562924098538013
ABHD6,0.385054321919029
ABI3,0.597375511405323
ACAA1,0.412444714338417
ACAA2,0.445742537731039
ACACA,0.377899828806161
ACADM,0.439404427827082
ACAT1,0.439432821962553
ACAT2,0.41699689529818
ACBD6,0.587853113199335
ACIN1,0.550825087980369
ACO1,0.297871061609056
ACOT7,0.442792656488993
ACP5,0.366103205428461
ACPP,0.39517610581686
ACSL3,0.444516823007126
ACSL5,0.386721285653293
ACTL6A,0.444001376182916
ACTR1B,0.461256720290822
ACVR1B,0.376246958511401
ACVR2A,0.464992725298139
ACVRL1,0.64304488760482
ACY1,0.43624397401833
ADAM15,0.376624165274594
ADAM28,0.415438326694218
ADAM8,0.760448834596907
ADAMDEC1,0.325293993293181
ADAP2,0.651644787292692
ADAR,0.578094649881657
ADCY7,0.572873237801921
ADI1,0.424267866543418
ADM,0.821373944546461
ADORA2A,0.437577254846692
ADORA3,0.593863550634827
ADPGK,0.647806812105436
ADPRHL2,0.57654333525391
ADRM1,0.589570647510643
ADSS,0.468399814298209
AEN,0.607194700866747
AFG3L2,0.461837245644505
AFMID,0.409677011527605
AGFG1,0.414339038412913
AGL,0.404607103922536
AGPAT5,0.450243526344369
AHCYL1,0.402890398637082
AHNAK,0.448945271858303
AIFM2,0.578322631991279
AIRE,0.429557673256041
AK3,0.423361119516512
AKAP11,0.414327224794505
AKAP2,0.574961346669596
AKIRIN2,0.577966979900268
AKR1B1,0.437416631087641
AKR7A3,0.455566286834655
ALAS1,0.431176553490821
ALB,0.460874124859584
ALDH16A1,0.464093024990984
ALDH2,0.366728498178216
ALDH3B1,0.634473382052419
ALDH6A1,0.427096295497975
ALDH9A1,0.452059921988667
ALDOA,0.618945727822522
ALDOC,0.77164897387325
ALG13,0.414629404717986
ALG14,0.440560297122866
ALG8,0.449266519376407
ALKBH5,0.569664493237222
ALKBH7,0.43213449286416
ALOX5,0.689933139064942
AMDHD2,0.684745717045186
AMZ2,0.441610051109444
ANAPC10,0.436445220044187
ANG,0.745070405020581
ANGEL1,0.436611232471285
ANGEL2,0.448142360319507
ANKRD10,0.421046064821532
ANKRD22,0.571290627448217
ANKRD33,0.641416680829192
ANKRD50,0.454106579563684
ANKRD6,0.562021289383909
ANO10,0.584070268231315
ANO6,0.437758604252074
ANP32B,0.569372261623979
ANTXR2,0.414326395768652
ANXA1,0.660609251099496
ANXA11,0.388256434276903
ANXA4,0.614728058794514
ANXA6,0.628982122057477
ANXA7,0.44246705658516
AP1S1,0.565682267551514
AP2S1,0.450562286784913
AP3B1,0.457187446890531
APBA3,0.46411789576658
API5,0.450725604877988
APLP2,0.423464333235232
APOBEC3A,0.678139624534191
APOBEC3F,0.628197656343913
APOBEC3H,0.615253661185424
APOC2,0.446627730085763
APOL1,0.582980099234395
APOM,0.45073327336713
APOO,0.416827152254743
ARAP1,0.46300948820089
ARAP3,0.452395677459202
ARFGAP2,0.567509440531903
ARFGEF1,0.430987535596298
ARHGAP17,0.573674905801937
ARHGAP21,0.41019473817291
ARHGAP24,0.611046562237043
ARHGAP25,0.587739743913914
ARHGAP27,0.561178584604161
ARHGEF3,0.631257383511505
ARID3B,0.663721621408764
ARID5A,0.45470617251199
ARID5B,0.405017886232782
ARIH2,0.46290751802095
ARL13B,0.464828992692137
ARL2,0.455843595982541
ARL6IP5,0.430883492851725
ARL6IP6,0.571570423673662
ARMC8,0.561992480735512
