"GeneSymbol","GeneScore"
"FBXO6","1.66977"
"PADI4","-0.900698"
"UBR4","-0.726696"
"TXNDC12","-0.897151"
"GADD45A","-0.740254"
"NEXN","1.52169"
"GBP1","2.00856"
"GBP2","1.94973"
"QPCT","-1.13201"
"VAMP5","1.9"
"STAT1","1.98975"
"CYP27A1","-0.715564"
"PARP9","1.69493"
"PARP14","1.5729"
"CD38","1.67692"
"LAP3","1.69415"
"CXCL10","1.82643"
"HMGCR","-0.735133"
"IRF1","1.65542"
"SOX4","-0.768899"
"TAP1","1.8738"
"SYTL3","-0.848615"
"IGF2BP3","1.53565"
"SAMD9L","1.76718"
"CUL1","2.00946"
"GOLGA7","-0.980722"
"STOM","1.6476"
"FAM129B","-0.755441"
"ANKRD22","1.80552"
"UBE2L6","1.81024"
"SERPING1","2.01557"
"MS4A6A","0.0668906"
"MS4A6E","0.0225478"
"MGST1","-1.02009"
"GLTP","-0.717638"
"TESC","-0.728831"
"ULK1","-0.748007"
"ALOX5AP","-0.853964"
"EPSTI1","1.55064"
"PSME1","1.53568"
"PSME2","1.99396"
"GCH1","1.56518"
"CCPG1","-0.944566"
"DEXI","-1.00714"
"KIF22","-1.11621"
"ITGAM","-0.781355"
"LGALS3BP","1.6849"
"APCDD1","-0.894125"
"IMPA2","-0.74274"
"CYP4F3","-0.78359"
"TGM2","1.52945"
"RAE1","-0.751297"
"PDXK","-0.721291"
"PIK3IP1","-0.728043"
