"GeneSymbol","GeneScore"
"A2M","-0.769627"
"AADAT","-0.398432"
"AAK1","-0.532152"
"ABCA1","1.0582"
"ABCC4","-0.517489"
"ABCD1","0.55141"
"ABCE1","-0.303755"
"ABHD11","0.197788"
"ABHD12","0.338542"
"ABHD14B","-0.208898"
"ABHD2","-0.342927"
"ABHD3","-0.381463"
"ABHD4","0.221845"
"ABHD6","-0.636366"
"ABI3","0.388071"
"ACAA1","-0.504209"
"ACAA2","-0.343549"
"ACACA","-0.670886"
"ACADM","-0.37413"
"ACAT1","-0.373993"
"ACAT2","-0.482245"
"ACBD6","0.342126"
"ACIN1","0.163468"
"ACO1","-1.05702"
"ACOT7","-0.357782"
"ACP5","-0.727804"
"ACPP","-0.587529"
"ACSL3","-0.349463"
"ACSL5","-0.628323"
"ACTL6A","-0.35195"
"ACTR1B","-0.268694"
"ACVR1B","-0.678861"
"ACVR2A","-0.250668"
"ACVRL1","0.608423"
"ACY1","-0.389379"
"ADAM15","-0.677041"
"ADAM28","-0.489765"
"ADAM8","1.17489"
"ADAMDEC1","-0.924706"
"ADAP2","0.649917"
"ADAR","0.295042"
"ADCY7","0.269849"
"ADI1","-0.447163"
"ADM","1.46885"
"ADORA2A","-0.382946"
"ADORA3","0.371126"
"ADPGK","0.631399"
"ADPRHL2","0.287557"
"ADRM1","0.350413"
"ADSS","-0.234229"
"AEN","0.435448"
"AFG3L2","-0.265893"
"AFMID","-0.517563"
"AGFG1","-0.495069"
"AGL","-0.542025"
"AGPAT5","-0.321832"
"AHCYL1","-0.550308"
"AHNAK","-0.328096"
"AIFM2","0.296142"
"AIRE","-0.42164"
"AK3","-0.451538"
"AKAP11","-0.495126"
"AKAP2","0.279924"
"AKIRIN2","0.294426"
"AKR1B1","-0.383721"
"AKR7A3","-0.29615"
"ALAS1","-0.413829"
"ALB","-0.27054"
"ALDH16A1","-0.255009"
"ALDH2","-0.724787"
"ALDH3B1","0.567066"
"ALDH6A1","-0.433516"
"ALDH9A1","-0.313068"
"ALDOA","0.492146"
"ALDOC","1.22893"
"ALG13","-0.493668"
"ALG14","-0.368553"
"ALG8","-0.326546"
"ALKBH5","0.254367"
"ALKBH7","-0.409207"
"ALOX5","0.834656"
"AMDHD2","0.809627"
"AMZ2","-0.363488"
"ANAPC10","-0.388408"
"ANG","1.10069"
"ANGEL1","-0.387607"
"ANGEL2","-0.33197"
"ANKRD10","-0.462708"
"ANKRD22","0.262213"
"ANKRD33","0.600567"
"ANKRD50","-0.303193"
"ANKRD6","0.217489"
"ANO10","0.323874"
"ANO6","-0.382071"
"ANP32B","0.252957"
"ANTXR2","-0.49513"
"ANXA1","0.69317"
"ANXA11","-0.620916"
"ANXA4","0.471796"
"ANXA6","0.540571"
"ANXA7","-0.359353"
"AP1S1","0.235153"
"AP2S1","-0.320294"
"AP3B1","-0.288328"
"APBA3","-0.254889"
"API5","-0.319506"
"APLP2","-0.45104"
"APOBEC3A","0.777753"
"APOBEC3F","0.536786"
"APOBEC3H","0.474332"
"APOC2","-0.339278"
"APOL1","0.318614"
"APOM","-0.319469"
"APOO","-0.483064"
"ARAP1","-0.260237"
"ARAP3","-0.311448"
"ARFGAP2","0.243969"
"ARFGEF1","-0.414741"
"ARHGAP17","0.273717"
"ARHGAP21","-0.515065"
"ARHGAP24","0.454033"
"ARHGAP25","0.341579"
"ARHGAP27","0.213423"
"ARHGEF3","0.551549"
"ARID3B","0.708187"
"ARID5A","-0.3003"
"ARID5B","-0.540043"
"ARIH2","-0.260729"
"ARL13B","-0.251458"
"ARL2","-0.294812"
"ARL6IP5","-0.415243"
"ARL6IP6","0.263563"
"ARMC8","0.21735"
"ARMCX1","0.208125"
"ARMCX2","0.239111"
"ARMCX5","0.198464"
"ARMCX6","0.331259"
"ARPC4","-0.237575"
"ARRDC3","0.661047"
"ARRDC4","0.319504"
"ARV1","-0.309672"
