TF	JASPAR ID	Class	Family	Tax Group	IC	GC Content	Target gene hits	Target gene non-hits	Background gene hits	Background gene non-hits	Target TFBS hits	Target TFBS nucleotide rate	Background TFBS hits	Background TFBS nucleotide rate	Z-score	Fisher score	pval	isSig	Component
Zfp423	MA0116.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.925	0.679	26	43	1158	3842	68	0.00767	2123	0.00441	17.936	5.285	3.08714157165063e-72	1	34
SP1	MA0079.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	11.129	0.82	49	20	2497	2503	386	0.029	16136	0.0223	16.502	8	1.77469657906273e-61	1	34
EBF1	MA0154.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.564	0.648	44	25	2250	2750	209	0.0157	7967	0.011	16.358	6.566	1.90725515854127e-60	1	34
ZNF354C	MA0130.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.958	0.615	56	13	3501	1499	959	0.0433	42241	0.0351	16.218	3.624	1.8812411638286e-59	1	34
MZF1_1-4	MA0056.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.586	0.725	56	13	3399	1601	912	0.0411	40743	0.0338	14.735	4.49	1.92098683279278e-49	1	34
Hand1::Tcfe2a	MA0092.1	Zipper-Type	Helix-Loop-Helix	vertebrates	10.144	0.507	45	24	2664	2336	257	0.0193	11035	0.0153	12.034	3.471	1.17734939214743e-33	1	34
NF-kappaB	MA0061.1	Ig-fold	Rel	vertebrates	13.345	0.621	31	38	1655	3345	101	0.00759	3778	0.00523	11.94	3.578	3.66115973118059e-33	1	34
Zfx	MA0146.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	13.077	0.749	40	29	1951	3049	155	0.0163	6632	0.0129	11.208	6.727	1.86257758574603e-29	1	34
Arnt::Ahr	MA0006.1	Zipper-Type	Helix-Loop-Helix	vertebrates	9.532	0.715	49	20	2692	2308	312	0.0141	13196	0.011	10.906	5.863	5.3950141931181e-28	1	34
Tcfcp2l1	MA0145.1	Other	CP2	vertebrates	11.65	0.609	40	29	2107	2893	151	0.0159	6533	0.0127	10.544	5.093	2.70728957408628e-26	1	34
PLAG1	MA0163.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	19.352	0.798	11	58	407	4593	18	0.00189	513	0.000994	10.381	3.716	1.51294436253549e-25	1	34
RELA	MA0107.1	Ig-fold	Rel	vertebrates	14.757	0.567	30	39	1373	3627	71	0.00534	2698	0.00373	9.57	5.715	5.34528367069058e-22	1	34
Klf4	MA0039.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	12.618	0.771	54	15	2696	2304	383	0.0288	17985	0.0249	9.133	10.519	3.3313432069887e-20	1	34
ZEB1	MA0103.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.305	0.557	58	11	3511	1489	721	0.0325	34428	0.0286	8.607	5.022	3.7498723458968e-18	1	34
RUNX1	MA0002.2	Ig-fold	Runt	vertebrates	10.401	0.502	48	21	2669	2331	253	0.0209	11707	0.0178	8.539	5.34	6.76941884733063e-18	1	34
Esrrb	MA0141.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	12.806	0.524	41	28	2014	2986	120	0.0108	5289	0.00878	7.97	6.806	7.93371842982395e-16	1	34
TAL1::TCF3	MA0091.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.07	0.453	25	44	1497	3503	70	0.00632	2893	0.0048	7.949	1.842	9.40115265204637e-16	1	34
PPARG::RXRA	MA0065.2	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	11.663	0.547	26	43	1196	3804	54	0.00609	2221	0.00461	7.943	4.845	9.86744725539244e-16	1	34
Pax4	MA0068.1	Helix-Turn-Helix	Homeo	vertebrates	11.004	0.441	1	68	14	4986	1	0.000226	14	5.81e-05	7.829	1.682	2.45882821837479e-15	1	34
FOXA1	MA0148.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	12.533	0.332	54	15	2683	2317	266	0.022	12543	0.0191	7.728	10.697	5.46246725875844e-15	1	34
NFKB1	MA0105.1	Ig-fold	Rel	vertebrates	15.627	0.758	19	50	777	4223	35	0.00289	1285	0.00196	7.714	4.806	6.09672367866632e-15	1	34
Myf	MA0055.1	Zipper-Type	Helix-Loop-Helix	vertebrates	15.914	0.609	40	29	2003	2997	122	0.011	5450	0.00905	7.517	6.15	2.80237086522794e-14	1	34
SPI1	MA0080.2	Winged Helix-Turn-Helix	Ets	vertebrates	9.64	0.435	51	18	3167	1833	407	0.0214	19230	0.0186	7.516	3.135	2.82387766075281e-14	1	34
E2F1	MA0024.1	Winged Helix-Turn-Helix	E2F	vertebrates	13.838	0.625	34	35	1589	3411	86	0.00517	3530	0.00391	7.368	6.22	8.66033940889716e-14	1	34
MZF1_5-13	MA0057.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	9.4	0.588	47	22	2687	2313	327	0.0246	15774	0.0218	6.865	4.489	3.32456265680053e-12	1	34
Pax5	MA0014.1	Helix-Turn-Helix	Homeo	vertebrates	12.432	0.575	6	63	229	4771	8	0.0012	261	0.000722	6.471	2.313	4.86782173683575e-11	1	34
INSM1	MA0155.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	14.862	0.667	34	35	1459	3541	79	0.00713	3487	0.00579	6.405	7.872	7.51846904110237e-11	1	34
HIF1A::ARNT	MA0259.1	Zipper-Type	Helix-Loop-Helix	vertebrates	9.74	0.657	38	31	2178	2822	164	0.00986	7516	0.00832	6.178	3.296	3.24593573755589e-10	1	34
Ar	MA0007.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	15.703	0.498	4	65	105	4895	4	0.000662	113	0.000344	6.171	2.809	3.39297111419091e-10	1	34
Spz1	MA0111.1	Other	Other	vertebrates	11.907	0.538	29	40	1339	3661	59	0.00488	2538	0.00386	5.949	5.371	1.34892819876006e-09	1	34
GABPA	MA0062.2	Winged Helix-Turn-Helix	Ets	vertebrates	13.335	0.647	32	37	1861	3139	92	0.00761	4199	0.00639	5.549	2.568	1.43654089268371e-08	1	34
USF1	MA0093.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.29	0.643	34	35	1867	3133	100	0.00526	4413	0.00428	5.5	3.524	1.89895624658877e-08	1	34
REL	MA0101.1	Ig-fold	Rel	vertebrates	10.515	0.559	35	34	2089	2911	128	0.00962	5968	0.00826	5.482	2.459	2.10272116543756e-08	1	34
